Wilayah,Provinsi,Kabupaten/Kota,Nama Wisata,Rating,Reviews,Jenis Wisata,Latitude,Longitude,Jenis Wisata Encoded,Kabupaten/Kota Encoded,Nama Wisata Encoded,Wisata_Air,Wisata_Bukit,Wisata_Monumen,Wisata_Religi,Wisata_Taman
Sumatra,Aceh,Aceh Barat,pantai suak ribee,4.2,329,Air,4.154143096,96.10982238,0,0,8629,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,makam teuku umar johan pahlawan,4.4,143,Monumen,4.424641205,96.18047377,2,0,5759,False,False,True,False,False
Sumatra,Aceh,Aceh Barat,pantai lhok geudong,4.0,359,Air,4.129719269,96.13004312,0,0,7869,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,tugu kupiah teuku umar,4.5,897,Monumen,4.148004208,96.11576952,2,0,12890,False,False,True,False,False
Sumatra,Aceh,Aceh Barat,pantai ujung karang,4.3,629,Air,4.124800316,96.12789642,0,0,8873,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,danau geunang geudong,3.8,20,Air,4.255325181,96.17641058,0,0,2966,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,monumen kupiah meukeutop,4.5,42,Monumen,4.146930418,96.11759301,2,0,6271,False,False,True,False,False
Sumatra,Aceh,Aceh Barat,pantai lhok bubon,4.3,136,Air,4.198209288,96.02769575,0,0,7868,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,air terjun pungkie,4.6,7,Air,4.529927493,96.00550992,0,0,782,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,kota meulaboh,4.7,18,Taman,4.126278708,96.12814792,4,0,5350,False,False,False,False,True
Sumatra,Aceh,Aceh Barat,wisata waterboom mini,4.2,33,Air,4.125528357,96.17000115,0,0,14403,True,False,False,False,False
Sumatra,Aceh,Aceh Barat,pantai suak timah,4.3,28,Air,4.209019793,96.0478673,0,0,8630,True,False,False,False,False
